Reporting Area,MMWR Year,MMWR Week,"Salmonella Paratyphi infection§, Current week","Salmonella Paratyphi infection§, Current week, flag","Salmonella Paratyphi infection§, Previous 52 weeks Max†","Salmonella Paratyphi infection§, Previous 52 weeks Max†, flag","Salmonella Paratyphi infection§, Cum 2019†","Salmonella Paratyphi infection§, Cum 2019†, flag","Salmonella Paratyphi infection§, Cum 2018†","Salmonella Paratyphi infection§, Cum 2018†, flag","Salmonella Typhi infection¶, Current week","Salmonella Typhi infection¶, Current week, flag","Salmonella Typhi infection¶,Previous 52 weeks Max†","Salmonella Typhi infection¶,Previous 52 weeks Max†, flag","Salmonella Typhi infection, Cum 2019†","Salmonella Typhi infection, Cum 2019†, flag","Salmonella Typhi infection, Cum 2018†","Salmonella Typhi infection, Cum 2018†, flag","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection)**, Current week","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection)**, Current week, flag","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection)**, Previous 52 weeks Max†","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection)**, Previous 52 weeks Max†, flag","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection**), Cum 2019†","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection**), Cum 2019†, flag","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection**), Cum 2018†","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection**, Cum 2018†, flag",Location 1,Location 2
KENTUCKY,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"KENTUCKY
(37.64591, -84.774043)",
MASSACHUSETTS,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MASSACHUSETTS
(42.268546, -72.085064)",
ARKANSAS,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ARKANSAS
(34.748745, -92.275105)",
WASHINGTON,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WASHINGTON
(47.517368, -120.467672)",
MARYLAND,2019,1,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MARYLAND
(39.290443, -76.612333)",
US RESIDENTS,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,52,,,NC,72,,,NN,,
NEW ENGLAND,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,1,,,NN,,
MIDDDLE ATLANTIC,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
NEW YORK CITY,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
EAST NORTH CENTRAL,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,27,,,NC,45,,,NN,,
WEST NORTH CENTRAL,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
SOUTH ATLANTIC,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,24,,,NC,24,,,NN,,
EAST SOUTH CENTRAL,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
WEST SOUTH CENTRAL,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,1,,,NC,2,,,NN,,
MOUNTAIN,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
PACIFIC,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
US TERRITORIES,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
AMERICAN SAMOA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
NON-US RESIDENTS,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,
TOTAL,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,52,,,NC,72,,,NN,,
DISTRICT OF COLUMBIA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MARYLAND,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,24,,,NC,24,,,NN,"MARYLAND
(39.290443, -76.612333)",
NORTH DAKOTA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTH DAKOTA
(47.475879, -100.121011)",
TEXAS,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"TEXAS
(31.827233, -99.423022)",
MISSISSIPPI,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MISSISSIPPI
(32.738663, -89.537312)",
NORTH CAROLINA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTH CAROLINA
(35.47995, -79.180571)",
WASHINGTON,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WASHINGTON
(47.517368, -120.467672)",
CALIFORNIA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"CALIFORNIA
(37.640735, -121.002435)",
TENNESSEE,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"TENNESSEE
(35.681402, -85.774444)",
OHIO,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,27,,,NC,45,,,NN,"OHIO
(40.056807, -82.405897)",
GEORGIA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"GEORGIA
(32.836038, -83.631709)",
MICHIGAN,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MICHIGAN
(44.66399, -84.711206)",
KENTUCKY,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"KENTUCKY
(37.64591, -84.774043)",
FLORIDA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"FLORIDA
(28.915325, -81.922409)",
MINNESOTA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MINNESOTA
(46.357661, -94.793397)",
NORTHERN MARIANA ISLANDS,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
KANSAS,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"KANSAS
(38.345528, -98.201847)",
COLORADO,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"COLORADO
(38.841772, -106.132562)",
MONTANA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MONTANA
(47.062617, -109.430168)",
HAWAII,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"HAWAII
(21.30992, -157.858158)",
IDAHO,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"IDAHO
(43.680635, -114.364237)",
MASSACHUSETTS,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MASSACHUSETTS
(42.268546, -72.085064)",
PENNSYLVANIA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"PENNSYLVANIA
(40.789676, -77.858055)",
WISCONSIN,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WISCONSIN
(44.395526, -89.834513)",
DELAWARE,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"DELAWARE
(39.008676, -75.574561)",
LOUISIANA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,1,,,NC,2,,,NN,"LOUISIANA
(31.2931, -92.463284)",
OKLAHOMA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"OKLAHOMA
(35.468494, -97.521264)",
ALABAMA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ALABAMA
(32.839182, -86.631125)",
CONNECTICUT,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"CONNECTICUT
(41.544654, -72.651713)",
VERMONT,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"VERMONT
(43.622479, -72.51927)",
ARIZONA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ARIZONA
(34.869712, -111.760902)",
ILLINOIS,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ILLINOIS
(40.477092, -88.993221)",
INDIANA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"INDIANA
(39.76845, -86.156212)",
IOWA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"IOWA
(42.46942, -93.815856)",
MISSOURI,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MISSOURI
(38.636168, -92.566292)",
NEW HAMPSHIRE,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,1,,,NN,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VIRGINIA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"VIRGINIA
(37.542699, -78.45822)",
RHODE ISLAND,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"RHODE ISLAND
(41.707447, -71.522488)",
GUAM,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"GUAM
(13.3532, 144.653198)",
U.S. VIRGIN ISLANDS,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"VIRGIN ISLANDS
(18.060868, -64.840836)",
UTAH,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"UTAH
(39.359772, -111.584173)",
NEBRASKA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEBRASKA
(41.640503, -99.367122)",
PUERTO RICO,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"PUERTO RICO
(18.215692, -66.414655)",
NEW MEXICO,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEW MEXICO
(34.520396, -106.244402)",
SOUTH DAKOTA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"SOUTH DAKOTA
(44.35371, -100.373709)",
WYOMING,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WYOMING
(43.23558, -108.110518)",
SOUTH CAROLINA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"SOUTH CAROLINA
(34.009286, -81.037094)",
ALASKA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ALASKA
(64.836661, -147.738891)",
OREGON,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"OREGON
(44.567912, -120.156945)",
WEST VIRGINIA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WEST VIRGINIA
(38.668501, -80.709421)",
MAINE,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MAINE
(45.252223, -68.986647)",
NEW YORK,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEW YORK
(42.826892, -75.544286)",
NEW JERSEY,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEW JERSEY
(40.104655, -74.386686)",
NEVADA,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEVADA
(39.491833, -117.070159)",
ARKANSAS,2019,2,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ARKANSAS
(34.748745, -92.275105)",
US RESIDENTS,2019,3,,-,,NC,1,,,NN,,-,,NC,,-,,NN,42,,,NC,143,,,NN,,US RESIDENTS
NEW ENGLAND,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,4,,,NN,,NEW ENGLAND
MIDDDLE ATLANTIC,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,MIDDDLE ATLANTIC
NEW YORK CITY,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,NEW YORK CITY
EAST NORTH CENTRAL,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,17,,,NC,62,,,NN,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,8,,,NC,25,,,NN,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,12,,,NC,37,,,NN,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,3,,,NN,,WEST SOUTH CENTRAL
MOUNTAIN,2019,3,,-,,NC,1,,,NN,,-,,NC,,-,,NN,5,,,NC,12,,,NN,,MOUNTAIN
PACIFIC,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,PACIFIC
US TERRITORIES,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,US TERRITORIES
AMERICAN SAMOA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,AMERICAN SAMOA
NON-US RESIDENTS,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,NON-US RESIDENTS
TOTAL,2019,3,,-,,NC,1,,,NN,,-,,NC,,-,,NN,42,,,NC,143,,,NN,,TOTAL
IDAHO,2019,3,,-,,NC,1,,,NN,,-,,NC,,-,,NN,4,,,NC,7,,,NN,"IDAHO
(43.680635, -114.364237)",
OHIO,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,17,,,NC,62,,,NN,"OHIO
(40.056807, -82.405897)",
LOUISIANA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,3,,,NN,"LOUISIANA
(31.2931, -92.463284)",
WEST VIRGINIA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WEST VIRGINIA
(38.668501, -80.709421)",
MINNESOTA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MINNESOTA
(46.357661, -94.793397)",
UTAH,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"UTAH
(39.359772, -111.584173)",
ILLINOIS,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ILLINOIS
(40.477092, -88.993221)",
VERMONT,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"VERMONT
(43.622479, -72.51927)",
TENNESSEE,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"TENNESSEE
(35.681402, -85.774444)",
ARIZONA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ARIZONA
(34.869712, -111.760902)",
SOUTH CAROLINA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"SOUTH CAROLINA
(34.009286, -81.037094)",
